6.14;6.26
6.18;6.30
6.29;6.41
6.23;6.35
6.23;6.35
6.30;6.42
6.23;6.35
6.19;6.31
6.01;6.13
6.08;6.20
6.09;6.21
6.14;6.26
6.11;6.23
6.33;6.45
6.17;6.29
6.32;6.44
6.36;6.48
6.24;6.36
6.33;6.45
6.36;6.48
6.34;6.46
6.42;6.54
6.42;6.54
6.35;6.47
6.53;6.65
6.51;6.63
6.35;6.47
6.39;6.51
6.33;6.45
6.44;6.56
6.37;6.49
6.32;6.44
6.32;6.44
6.28;6.40
6.20;6.32
6.23;6.35
6.30;6.42
6.32;6.44
6.31;6.43
6.40;6.52
6.45;6.57
6.45;6.57
6.50;6.62
6.43;6.55
6.47;6.59
6.49;6.61
6.38;6.50
6.39;6.51
6.33;6.45
6.36;6.48
6.45;6.57
6.36;6.48
6.36;6.48
6.30;6.42
6.33;6.45
6.36;6.48
6.28;6.40
6.17;6.29
6.21;6.33
6.11;6.23
6.09;6.21
6.10;6.22
6.13;6.25
6.19;6.31
6.11;6.23
6.13;6.25
6.09;6.21
6.14;6.26
6.13;6.25
6.13;6.25
6.12;6.24
6.00;6.12
5.96;6.08
5.92;6.04
6.13;6.25
6.06;6.18
6.04;6.16
5.96;6.08
5.98;6.10
5.89;6.01
5.98;6.10
5.97;6.09
5.95;6.07
5.94;6.06
5.95;6.07
5.84;5.96
5.87;5.99
5.90;6.02
5.80;5.92
5.76;5.88
5.71;5.83
5.63;5.75
5.72;5.84
5.59;5.71
5.64;5.76
5.60;5.72
5.67;5.79
5.56;5.68
5.52;5.64
5.55;5.67
5.47;5.59
5.45;5.57
5.52;5.64
5.54;5.66
5.48;5.60
5.45;5.57
5.35;5.47
5.28;5.40
5.39;5.51
5.36;5.48
5.47;5.59
5.50;5.62
5.38;5.50
5.47;5.59
5.39;5.51
5.38;5.50
5.40;5.52
5.31;5.43
5.32;5.44
5.29;5.41
5.30;5.42
5.36;5.48
5.41;5.53
5.25;5.37
5.12;5.24
5.18;5.30
5.25;5.37
5.30;5.42
5.22;5.34
5.27;5.39
5.32;5.44
5.23;5.35
5.25;5.37
5.24;5.36
5.27;5.39
5.25;5.37
5.26;5.38
5.28;5.40
5.25;5.37
5.26;5.38
5.23;5.35
5.26;5.38
5.30;5.42
5.22;5.34
5.23;5.35
